

Szenario 1


mosaik_ids_c2      | [LM lm00337e-7ba9-4f95-b8b4-d8cecb11055b] [ERROR]: 2022-09-06 10:26:03.331901 - Requirement 1 violated! Sum of incoming current at bus b27 is 0.06, and sum of outgoing current is 0.22
mosaik_ids_c2      | [LM lm00337e-7ba9-4f95-b8b4-d8cecb11055b] [ERROR]: 2022-09-06 10:26:04.478324 - Requirement 1 violated! Sum of incoming current at bus b27 is 0.06, and sum of outgoing current is 0.22
mosaik_ids_c2      | [LM lm00337e-7ba9-4f95-b8b4-d8cecb11055b] [ERROR]: 2022-09-06 10:26:05.676432 - Requirement 1 violated! Sum of incoming current at bus b27 is 0.06, and sum of outgoing current is 0.22
mosaik_ids_c2      | [LM lm008a60-0444-4506-a0f7-3f3bd63a06da] [ERROR]: 2022-09-06 10:26:05.529909 - Requirement 1 violated! Sum of incoming current at bus b22 is 0.02, and sum of outgoing current is 1.03
mosaik_ids_c2      | [LM lm008a60-0444-4506-a0f7-3f3bd63a06da] [ERROR]: 2022-09-06 10:26:05.533619 - Requirement 4 (local) violated! Current on line branch_30 measured by sensor_21 : 0.03 (!= 1.03)
mosaik_ids_c2      | [LM lm008a60-0444-4506-a0f7-3f3bd63a06da] [ERROR]: 2022-09-06 10:26:05.537011 - Requirement 7 violated! Max current in sensor_20 should be < 0.2 but is currently 1.034
mosaik_ids_c2      | [LM lm008a60-0444-4506-a0f7-3f3bd63a06da] [ERROR]: 2022-09-06 10:26:06.694782 - Requirement 1 violated! Sum of incoming current at bus b22 is 0.02, and sum of outgoing current is 1.03
mosaik_ids_c2      | [LM lm008a60-0444-4506-a0f7-3f3bd63a06da] [ERROR]: 2022-09-06 10:26:06.697447 - Requirement 4 (local) violated! Current on line branch_30 measured by sensor_21 : 0.03 (!= 1.03)
mosaik_ids_c2      | [LM lm008a60-0444-4506-a0f7-3f3bd63a06da] [ERROR]: 2022-09-06 10:26:06.700053 - Requirement 7 violated! Max current in sensor_20 should be < 0.2 but is currently 1.034
mosaik_ids_c2      | [LM lm00337e-7ba9-4f95-b8b4-d8cecb11055b] [ERROR]: 2022-09-06 10:26:06.888760 - Requirement 1 violated! Sum of incoming current at bus b27 is 0.06, and sum of outgoing current is 0.22
mosaik_ids_c2      | [LM lm00337e-7ba9-4f95-b8b4-d8cecb11055b] [ERROR]: 2022-09-06 10:26:08.067797 - Requirement 1 violated! Sum of incoming current at bus b27 is 0.06, and sum of outgoing current is 0.22
mosaik_ids_c2      | [LM lm00337e-7ba9-4f95-b8b4-d8cecb11055b] [ERROR]: 2022-09-06 10:26:09.327712 - Requirement 1 violated! Sum of incoming current at bus b27 is 0.06, and sum of outgoing current is 0.22
mosaik_ids_c2      | [LM lm00337e-7ba9-4f95-b8b4-d8cecb11055b] [ERROR]: 2022-09-06 10:26:09.329676 - Requirement 1 violated! Sum of incoming current at bus b25 is 0.08, and sum of outgoing current is 0.23
mosaik_ids_c2      | [LM lm00337e-7ba9-4f95-b8b4-d8cecb11055b] [ERROR]: 2022-09-06 10:26:09.331687 - Requirement 4 (local) violated! Current on line branch_33 measured by sensor_6 : 0.23 (!= 0.03)
mosaik_ids_c2      | [LM lm00337e-7ba9-4f95-b8b4-d8cecb11055b] [ERROR]: 2022-09-06 10:26:09.333709 - Requirement 7 violated! Max current in sensor_6 should be < 0.2 but is currently 0.233
mosaik_ids_c2      | [LM lm00337e-7ba9-4f95-b8b4-d8cecb11055b] [ERROR]: 2022-09-06 10:26:10.538981 - Requirement 1 violated! Sum of incoming current at bus b27 is 0.06, and sum of outgoing current is 0.22
mosaik_ids_c2      | [LM lm00337e-7ba9-4f95-b8b4-d8cecb11055b] [ERROR]: 2022-09-06 10:26:10.542247 - Requirement 1 violated! Sum of incoming current at bus b25 is 0.08, and sum of outgoing current is 0.23
mosaik_ids_c2      | [LM lm00337e-7ba9-4f95-b8b4-d8cecb11055b] [ERROR]: 2022-09-06 10:26:10.545634 - Requirement 4 (local) violated! Current on line branch_33 measured by sensor_6 : 0.23 (!= 0.03)
mosaik_ids_c2      | [LM lm00337e-7ba9-4f95-b8b4-d8cecb11055b] [ERROR]: 2022-09-06 10:26:10.548893 - Requirement 7 violated! Max current in sensor_6 should be < 0.2 but is currently 0.233
mosaik_ids_c2      | [LM lm00337e-7ba9-4f95-b8b4-d8cecb11055b] [ERROR]: 2022-09-06 10:26:11.829952 - Requirement 1 violated! Sum of incoming current at bus b27 is 0.06, and sum of outgoing current is 0.22
mosaik_ids_c2      | [LM lm00337e-7ba9-4f95-b8b4-d8cecb11055b] [ERROR]: 2022-09-06 10:26:13.059053 - Requirement 1 violated! Sum of incoming current at bus b27 is 0.06, and sum of outgoing current is 0.22
mosaik_ids_c2      | [LM lm00337e-7ba9-4f95-b8b4-d8cecb11055b] [ERROR]: 2022-09-06 10:26:13.061411 - Requirement 2 violated! Voltage on bus b25 measured by sensor_8 : 10500.39 (!= 10499.37)
mosaik_ids_c2      | [LM lm00337e-7ba9-4f95-b8b4-d8cecb11055b] [ERROR]: 2022-09-06 10:26:13.063439 - Requirement 4 (local) violated! Voltage on line branch_32 measured by sensor_9 : 10499.38 (!= 10500.39)
mosaik_ids_c2      | [LM lm00337e-7ba9-4f95-b8b4-d8cecb11055b] [ERROR]: 2022-09-06 10:26:13.065425 - Requirement 8 violated! Max voltage in sensor_8 should be < 10500.0 but is currently 10500.394
mosaik_ids_c2      | [LM lm00337e-7ba9-4f95-b8b4-d8cecb11055b] [ERROR]: 2022-09-06 10:26:14.280130 - Requirement 1 violated! Sum of incoming current at bus b27 is 0.06, and sum of outgoing current is 0.22
mosaik_ids_c2      | [LM lm00337e-7ba9-4f95-b8b4-d8cecb11055b] [ERROR]: 2022-09-06 10:26:14.283472 - Requirement 2 violated! Voltage on bus b25 measured by sensor_8 : 10500.39 (!= 10499.39)
