Last login: Mon Dec  5 21:27:08 on ttys008
kaigrosshanten@MacBook-Pro-10 ~ % cd PycharmProjects/distributed-smart-grid-ids/ids/deployment/
kaigrosshanten@MacBook-Pro-10 deployment % docker compose up neighborhood_monitor_2
[+] Running 1/0
 ⠿ Container mosaik_ids_nm_2  Created                                                                                                                                                                                                        0.0s
Attaching to mosaik_ids_nm_2
mosaik_ids_nm_2  | Last cycle took 0.007141
mosaik_ids_nm_2  | Last cycle took 0.005379
mosaik_ids_nm_2  | Last cycle took 0.005939
mosaik_ids_nm_2  | Last cycle took 0.005224
mosaik_ids_nm_2  | Last cycle took 0.007250
mosaik_ids_nm_2  | Last cycle took 0.006581
mosaik_ids_nm_2  | Last cycle took 0.007042
mosaik_ids_nm_2  | Last cycle took 0.006306
mosaik_ids_nm_2  | Last cycle took 0.004463
mosaik_ids_nm_2  | Last cycle took 0.004128
mosaik_ids_nm_2  | Last cycle took 0.006302
mosaik_ids_nm_2  | Last cycle took 0.005012
mosaik_ids_nm_2  | Last cycle took 0.008650
mosaik_ids_nm_2  | Last cycle took 0.005254
mosaik_ids_nm_2  | Last cycle took 0.004490
mosaik_ids_nm_2  | Last cycle took 0.004133
mosaik_ids_nm_2  | Last cycle took 0.007022
mosaik_ids_nm_2  | Last cycle took 0.005255
mosaik_ids_nm_2  | Last cycle took 0.005694
mosaik_ids_nm_2  | Last cycle took 0.005372
mosaik_ids_nm_2  | Last cycle took 0.005954
mosaik_ids_nm_2  | Last cycle took 0.005251
mosaik_ids_nm_2  | Last cycle took 0.003935
mosaik_ids_nm_2  | Last cycle took 0.007589
mosaik_ids_nm_2  | Last cycle took 0.005694
mosaik_ids_nm_2  | Last cycle took 0.007297
mosaik_ids_nm_2  | Last cycle took 0.006078
mosaik_ids_nm_2  | Last cycle took 0.007516
mosaik_ids_nm_2  | Last cycle took 0.005539
mosaik_ids_nm_2  | Last cycle took 0.008285
mosaik_ids_nm_2  | Last cycle took 0.004785
mosaik_ids_nm_2  | Last cycle took 0.004316
mosaik_ids_nm_2  | Last cycle took 0.004906
mosaik_ids_nm_2  | Last cycle took 0.007180
mosaik_ids_nm_2  | Last cycle took 0.004799
mosaik_ids_nm_2  | Last cycle took 0.010331
mosaik_ids_nm_2  | Last cycle took 0.007120
mosaik_ids_nm_2  | Last cycle took 0.005850
mosaik_ids_nm_2  | Last cycle took 0.007771
mosaik_ids_nm_2  | Last cycle took 0.006196
mosaik_ids_nm_2  | Last cycle took 0.006930
mosaik_ids_nm_2  | Last cycle took 0.005709
mosaik_ids_nm_2  | Last cycle took 0.007037
mosaik_ids_nm_2  | Last cycle took 0.006416
mosaik_ids_nm_2  | Last cycle took 0.005942
